split,bin_left,bin_right,count,mean_predicted,observed_rate,abs_gap
validation,0.0,0.1,0,,,
validation,0.1,0.2,4,0.16293743890517004,0.0,0.16293743890517004
validation,0.2,0.30000000000000004,4,0.2713754772983078,0.25,0.0213754772983078
validation,0.30000000000000004,0.4,9,0.3474192410480319,0.4444444444444444,0.09702520339641252
validation,0.4,0.5,4,0.48260923113641885,0.25,0.23260923113641885
validation,0.5,0.6000000000000001,4,0.5446252259522817,0.25,0.2946252259522817
validation,0.6000000000000001,0.7000000000000001,2,0.6419219855813165,0.5,0.14192198558131652
validation,0.7000000000000001,0.8,5,0.7618730079199996,1.0,0.23812699208000043
validation,0.8,0.9,0,,,
validation,0.9,1.0,1,0.9083390438090011,1.0,0.0916609561909989
train_reference,0.0,0.1,3,0.06414425243633985,0.0,0.06414425243633985
train_reference,0.1,0.2,15,0.14426933480265314,0.2,0.055730665197346874
train_reference,0.2,0.30000000000000004,18,0.24727654638664637,0.2777777777777778,0.030501231391131423
train_reference,0.30000000000000004,0.4,20,0.3574969220037348,0.2,0.15749692200373477
train_reference,0.4,0.5,20,0.44953010504219487,0.4,0.04953010504219485
train_reference,0.5,0.6000000000000001,13,0.5573077264793826,0.38461538461538464,0.172692341863998
train_reference,0.6000000000000001,0.7000000000000001,8,0.6442187417794673,1.0,0.35578125822053275
train_reference,0.7000000000000001,0.8,9,0.7521247822785101,0.7777777777777778,0.025652995499267695
train_reference,0.8,0.9,7,0.8519148677190712,1.0,0.1480851322809288
train_reference,0.9,1.0,4,0.9213066218551393,1.0,0.07869337814486066
